id,CustomerID,Tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,7590-VHVEG,1,0,0,1,Electronic check,29.85,29.85,No
2,5575-GNVDE,34,1,1,0,Mailed check,56.95,1889.5,No
3,3668-QPYBK,2,1,0,1,Mailed check,53.85,108.15,Yes
4,7795-CFOCW,45,0,1,0,Bank transfer (automatic),42.3,1840.75,No
5,9237-HQITU,2,1,0,1,Electronic check,70.7,151.65,Yes
6,9305-CDSKC,8,1,0,1,Electronic check,99.65,820.5,Yes
7,1452-KIOVK,22,1,0,1,Credit card (automatic),89.1,1949.4,No
8,6713-OKOMC,10,0,0,0,Mailed check,29.75,301.9,No
9,7892-POOKP,28,1,0,1,Electronic check,104.8,3046.05,Yes
10,6388-TABGU,62,1,1,0,Bank transfer (automatic),56.15,3487.95,No
11,9763-GRSKD,13,1,0,1,Mailed check,49.95,587.45,No
12,7469-LKBCI,16,1,2,0,Credit card (automatic),18.95,326.8,No
13,8091-TTVAX,58,1,1,0,Credit card (automatic),100.35,5681.1,No
14,0280-XJGEX,49,1,0,1,Bank transfer (automatic),103.7,5036.3,Yes
15,5129-JLPIS,25,1,0,1,Electronic check,105.5,2686.05,No
16,3655-SNQYZ,69,1,2,0,Credit card (automatic),113.25,7895.15,No
17,8191-XWSZG,52,1,1,0,Mailed check,20.65,1022.95,No
18,9959-WOFKT,71,1,2,0,Bank transfer (automatic),106.7,7382.25,No
19,4190-MFLUW,10,1,0,0,Credit card (automatic),55.2,528.35,Yes
20,4183-MYFRB,21,1,0,1,Electronic check,90.05,1862.9,No
21,8779-QRDMV,1,0,0,1,Electronic check,39.65,39.65,Yes
22,1680-VDCWW,12,1,1,0,Bank transfer (automatic),19.8,202.25,No
23,1066-JKSGK,1,1,0,0,Mailed check,20.15,20.15,Yes
24,3638-WEABW,58,1,2,1,Credit card (automatic),59.9,3505.1,No
25,6322-HRPFA,49,1,0,0,Credit card (automatic),59.6,2970.3,No
26,6865-JZNKO,30,1,0,1,Bank transfer (automatic),55.3,1530.6,No
